"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","NA","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","PPS","AFG%"
"1","Abdel Nader, SF","6","0","2.8","1.0","0.2","0.2","0.3","0.5","0.17","0.17","0.0","0.2","0.0",NA,"0.3","1.0",".333","0.0","0.3",".000","0.3","0.7","0.50","0.3","0.7",".500","1.000","0.33"
"2","Al Horford, PF","12","12","35.8","17.0","1.8","6.8","8.7","3.3","1.17","1.33","2.3","2.3","1.5",NA,"6.5","11.3",".578","0.8","2.1",".360","3.3","4.0","0.81","5.7","9.2",".627","1.511","0.61"
"3","Aron Baynes, C","12","9","20.0","6.4","2.4","3.8","6.3","1.1","0.17","0.33","0.5","2.4","2.2",NA,"2.6","4.9",".525","0.8","1.6",".474","0.5","0.7","0.75","1.8","3.3",".550","1.305","0.60"
"4","Greg Monroe, C","7","0","10.3","5.0","1.7","1.9","3.6","0.6","0.14","0.29","1.4","0.6","0.4",NA,"1.7","4.1",".414","0.0","0.0",".000","1.6","2.3","0.69","1.7","4.1",".414","1.207","0.41"
"5","Guerschon Yabusele, PF","7","0","3.9","0.4","0.4","0.4","0.9","0.3","0.29","0.00","0.0","0.9","0.0",NA,"0.1","0.9",".167","0.0","0.4",".000","0.1","0.4","0.33","0.1","0.5",".333",".500","0.17"
"6","Jaylen Brown, SG","11","8","32.0","16.9","0.8","4.0","4.8","1.4","0.82","0.64","1.3","3.2","1.1",NA,"6.6","13.6",".487","2.5","5.9",".415","1.2","2.3","0.52","4.1","7.7",".541","1.240","0.58"
"7","Jayson Tatum, SF","12","12","35.3","18.8","0.7","3.8","4.5","3.2","1.17","0.58","2.2","2.3","1.5",NA,"6.5","14.2",".459","1.2","3.8",".311","4.7","5.6","0.84","5.3","10.4",".512","1.329","0.50"
"8","Marcus Morris, PF","12","0","28.6","12.3","0.8","4.3","5.0","1.2","0.33","0.42","0.9","3.0","1.3",NA,"4.3","12.0",".354","1.4","3.7",".386","2.3","3.3","0.72","2.9","8.3",".340","1.021","0.41"
"9","Marcus Smart, PG","8","4","31.3","10.6","0.9","3.1","4.0","4.4","1.75","1.00","2.9","3.6","1.5",NA,"3.4","9.9",".342","1.0","4.6",".216","2.9","3.9","0.74","2.4","5.3",".452","1.076","0.39"
"10","Semi Ojeleye, PF","12","3","14.5","1.8","0.3","1.4","1.8","0.1","0.17","0.00","0.2","1.3","0.5",NA,"0.6","1.8",".318","0.4","1.3",".333","0.2","0.2","1.00","0.2","0.5",".286",".955","0.43"
"11","Shane Larkin, PG","11","0","14.0","3.7","0.1","0.9","1.0","1.8","0.45","0.00","0.5","1.4","3.3",NA,"1.5","3.2",".457","0.4","1.2",".308","0.5","0.5","1.00","1.1","2.0",".545","1.171","0.51"
"12","Terry Rozier, PG","12","12","37.3","18.2","0.7","4.8","5.5","5.8","1.17","0.50","1.3","1.7","4.3",NA,"5.9","14.0",".423","3.2","8.0",".396","3.2","3.8","0.83","2.7","6.0",".458","1.298","0.54"
"13","Totals","12","--","--","104.1","9.4","33.0","42.4","21.2","6.83","4.67","12.4","20.4","1.7","--","37.3","83.6",".446","10.9","30.3",".360","18.7","24.5",".762","26.3","53.3",".495","1.25","0.51"
