"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","PPS","AFG%"
"1","Ante Zizic, PF",2,0,4,1,0,0.5,0.5,0,0,0,0.5,0,0,0.5,2,0.25,0,0,0,0,0,0,0.5,2,0.25,0.5,0.25
"2","Cedi Osman, SF",5,0,6.6,1.4,0.2,0.4,0.6,0.4,0.2,0,0,1,0,0.6,1.8,0.333,0.2,1,0.2,0,0.4,0,0.4,0.8,0.5,0.778,0.39
"3","George Hill, PG",8,7,26.1,9.8,0.5,1.6,2.1,2.5,0.13,0.38,1.4,2.5,1.8,3.3,6.1,0.531,0.5,1.8,0.286,2.8,3.3,0.85,2.8,4.3,0.629,1.592,0.57
"4","Jeff Green, SF",11,1,21.8,8,0.3,1.9,2.2,1.6,0.45,0.73,0.4,1.6,4.5,2.7,6.3,0.435,1.2,3.2,0.371,1.4,2.3,0.6,1.5,3.1,0.5,1.275,0.53
"5","Jordan Clarkson, PG",11,0,16.6,4.6,0.3,1.3,1.5,1.1,0.45,0.09,0.9,1.1,1.2,1.9,6.1,0.313,0.5,2.3,0.2,0.4,0.5,0.8,1.4,3.8,0.381,0.761,0.35
"6","Jose Calderon, PG",6,3,14,3,0.2,0.8,1,0.8,0.67,0,0.8,2.3,1,1,3.2,0.316,0.7,2.5,0.267,0.3,0.3,1,0.3,0.7,0.5,0.947,0.42
"7","JR Smith, SG",11,10,32.3,10,0.5,2,2.5,1.3,1.27,0.18,1,2.5,1.3,3.5,8.4,0.413,2.3,5.5,0.41,0.8,0.9,0.9,1.2,2.9,0.419,1.196,0.55
"8","Kevin Love, C",11,11,33.4,14.7,2.3,7.8,10.1,1.2,0.73,0.55,2,3.1,0.6,5.1,12.9,0.394,1.8,4.7,0.385,2.7,3.1,0.88,3.3,8.2,0.4,1.141,0.46
"9","Kyle Korver, SG",11,10,26.1,10.5,0.3,2.4,2.6,1.2,0.64,0.18,0.7,1.7,1.6,3.5,7.4,0.469,2.7,5.9,0.462,0.9,1,0.91,0.8,1.5,0.5,1.432,0.65
"10","Larry Nance Jr., PF",9,0,16.2,4.9,1.1,2.8,3.9,0.6,0.67,0.67,0.6,1.8,1,2.2,3.1,0.714,0,0,0,0.4,1.1,0.4,2.2,3.1,0.714,1.571,0.71
"11","LeBron James, SF",11,11,41.4,34.3,1.5,7.9,9.4,9,1.55,1,3.1,2.1,2.9,12.7,23,0.553,1.4,4.7,0.288,7.5,10,0.75,11.3,18.3,0.622,1.49,0.58
"12","Rodney Hood, SG",10,1,17,4.6,0.2,1.2,1.4,1.1,0.3,0.2,1,2.2,1.1,1.9,4.8,0.396,0.2,1.5,0.133,0.6,0.8,0.75,1.7,3.3,0.515,0.958,0.42
"14","Tristan Thompson, C",8,1,15.9,4.9,2.5,1.9,4.4,0.6,0.13,0.13,0.6,1.1,1,1.8,2.8,0.636,0,0,0,1.4,1.6,0.85,1.8,2.8,0.636,1.773,0.64
