"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","PPS","AFG%"
"1","Aaron Jackson, G",5,0,1.8,0.2,0,0.2,0.2,0.2,0,0,0.2,0.2,1,0,0.2,0,0,0.2,0,0.2,0.4,0.5,0,0,0,1,0
"2","Chinanu Onuaku, C",1,0,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Chris Paul, PG",10,10,33.3,21.8,0.4,5.1,5.5,6.4,2.1,0.2,1.9,2.6,3.4,8.3,17.1,0.485,2.3,6.1,0.377,2.9,3.3,0.88,6,11,0.545,1.275,0.55
"4","Clint Capela, C",10,10,32,14.4,4.1,8.1,12.2,1.6,1,2.8,0.6,2.3,2.7,6.4,10.1,0.634,0,0,0,1.6,3,0.53,6.4,10.1,0.634,1.426,0.63
"5","Eric Gordon, SG",10,0,30.6,12.9,0.7,1.8,2.5,1.4,0.6,0.4,1,1.7,1.4,4,11.7,0.342,2.2,7,0.314,2.7,3.2,0.84,1.8,4.7,0.383,1.103,0.44
"6","Gerald Green, SG",10,0,14.5,6.3,0.5,3.1,3.6,0.1,0.4,0.2,0.3,1.7,0.3,2.2,5.5,0.4,1.5,4.4,0.341,0.4,0.4,1,0.7,1.1,0.636,1.145,0.54
"7","James Harden, PG",10,10,35.4,28.5,0.8,4.2,5,7.4,2.3,0.7,3.1,2.6,2.4,9,22.1,0.407,3.3,9.6,0.344,7.2,8.1,0.89,5.7,12.5,0.456,1.29,0.48
"8","Joe Johnson, SG",4,0,7.3,1.5,0,1,1,0.5,0,0.25,0.3,0.8,2,0.8,1.8,0.429,0,0,0,0,0,0,0.8,1.8,0.429,0.857,0.43
"9","Luc Mbah a Moute, PF",5,0,19,4,0,3,3,0.6,0.8,0.8,0.8,1.4,0.8,1.4,4.2,0.333,0.4,2,0.2,0.8,1,0.8,1,2.2,0.455,0.952,0.38
"10","Nene Hilario, C",10,0,10.2,3.1,0.6,2.1,2.7,0.5,0.2,0.5,0.8,1.7,0.6,1.2,1.9,0.632,0,0,0,0.7,1.1,0.64,1.2,1.9,0.632,1.632,0.63
"11","PJ Tucker, SF",10,10,29.8,9,0.6,4.2,4.8,0.9,0.2,1.1,0.4,2.4,2.3,3.2,6.6,0.485,2.2,4.8,0.458,0.4,0.5,0.8,1,1.8,0.556,1.364,0.65
"12","Ryan Anderson, PF",6,0,11.2,3.2,0.3,1.3,1.7,0.8,0.33,0.17,0.3,0.8,2.5,1.2,2.7,0.438,0.8,2.2,0.385,0,0,0,0.4,0.5,0.667,1.188,0.59
"13","Tarik Black, PF",5,0,2,0,0,0.6,0.6,0.2,0,0.2,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0
"15","Trevor Ariza, SF",10,10,32.3,8.7,0.2,3.8,4,1,0.9,0.1,0.2,1.9,5,2.9,7.6,0.382,1.9,5.6,0.339,1,1.6,0.63,1,2,0.5,1.145,0.51
"16","Zhou Qi, PF",3,0,2,0.7,0,0.3,0.3,0,0,0,0,0,0,0.3,0.3,1,0,0,0,0,0,0,0.3,0.3,1,2,1
